grid_index,band,frequency(THz),tau_N_RTA(ps),tau_U_RTA(ps),tau_RTA_NU(ps),tau_MC(ps)
258,1,5.47716,152.433,2304.97,142.977,192.026
258,2,14.336,68.8587,2453.39,66.9788,125.746
258,3,22.0537,18.3888,282.306,17.2642,29.4742
258,4,25.0593,79.6531,47.5792,29.7867,121.129
258,5,41.2323,28.468,56.7715,18.9603,925.088
258,6,45.1394,17.5772,1677.54,17.395,448.717
259,1,5.92064,153.261,1616.88,139.992,115.611
259,2,14.47,74.5479,1581.25,71.1915,355.054
259,3,23.2376,24.5318,24.8613,12.3477,73.0144
259,4,24.8904,96.7073,44.0404,30.26,115.477
259,5,41.0492,24.5898,34.6486,14.3826,2222.11
259,6,45.3347,15.6235,706.869,15.2856,197.538
260,1,6.51642,150.728,1215.63,134.1,175.951
260,2,14.9693,84.4796,1572.33,80.172,360.643
260,3,24.553,21.088,96.7103,17.3129,26.6764
260,4,24.6548,134.756,41.086,31.4861,56.1986
260,5,40.8989,36.8002,18.3205,12.2313,446.804
260,6,45.4985,15.1222,251.981,14.266,855.316
261,1,7.24317,131.051,823.125,113.052,113.569
261,2,15.8742,77.319,1491.57,73.5085,219.075
261,3,24.3535,169.415,42.2404,33.8104,23.3933
261,4,25.8846,18.9694,70.7582,14.959,207.769
261,5,40.8208,32.5227,20.1494,12.4414,548.622
261,6,45.5857,14.9555,83.4734,12.6831,198.143
262,1,8.07789,159.884,616.04,126.939,89.1152
262,2,17.1455,71.8765,959.547,66.8676,64.6447
262,3,23.9886,182.621,42.2301,34.2987,113.729
262,4,27.1612,24.9446,28.4805,13.2978,24.5509
262,5,40.8351,22.5742,97.3251,18.324,341.227
262,6,45.5639,13.351,32.5068,9.46398,1767.82
263,1,8.99676,162.875,495.702,122.594,177.928
263,2,18.7042,61.7838,730.267,56.9643,294.91
263,3,23.5626,228.794,44.6421,37.3537,82.2186
263,4,28.3428,23.0917,25.0277,12.0104,71.7547
263,5,40.9435,27.2069,106.078,21.6533,1394.2
263,6,45.4107,14.6724,2.68856,2.2722,263.776
264,1,9.9758,157.672,379.495,111.391,88.1397
264,2,20.4597,57.8856,311.177,48.8065,168.181
264,3,23.0788,243.178,43.4484,36.8623,31.9905
264,4,29.4145,23.1415,20.2755,10.807,14.1856
264,5,41.1307,30.3271,110.271,23.7855,1300.41
264,6,45.1111,17.3046,4.81946,3.7696,52.889
265,1,10.9914,155.815,322.125,105.017,92.4265
265,2,22.3212,66.5852,95.0243,39.1512,132.047
265,3,22.5413,313.391,47.9276,41.5702,75.8771
265,4,30.3842,21.5108,18.6842,9.99906,12.8946
265,5,41.3696,30.8972,74.0972,21.8049,4756.6
265,6,44.6553,22.1501,2.74635,2.4434,43.9109
266,1,12.0208,142.976,332.071,99.944,75.3764
266,2,21.955,300.12,48.4985,41.7516,50.3373
266,3,24.1963,86.162,85.1359,42.823,61.1731
266,4,31.2814,20.0461,14.9235,8.5548,38.2906
266,5,41.6276,27.9038,44.901,17.2092,2612.68
266,6,44.0374,24.7439,4.03135,3.46656,106.33
267,1,13.0424,133.9,356.672,97.3526,121.541
267,2,21.3261,246.151,49.0735,40.9163,50.6381
267,3,25.9803,100.293,52.4201,34.4265,101.552
267,4,32.1609,18.1654,12.8343,7.52072,20.784
267,5,41.8741,23.7324,51.0968,16.2056,1086.8
267,6,43.2553,16.2347,6.60227,4.69352,26.2116
268,1,14.0341,120.075,326.99,87.8244,89.1994
268,2,20.6638,283.92,48.7762,41.6252,36.2178
268,3,27.5455,108.477,40.3662,29.4189,51.7544
268,4,33.105,21.394,9.71404,6.68066,70.3168
268,5,42.0734,13.3778,21.178,8.19876,1040.91
268,6,42.3236,10.8643,9.65404,5.11173,30.5826
269,1,14.9689,116.724,301.484,84.1459,121.173
269,2,19.9848,453.313,56.3422,50.1136,36.7428
269,3,28.7578,128.18,40.819,30.9599,40.2555
269,4,34.2011,22.5511,6.98138,5.331,74.5108
269,5,41.2001,7.77555,12.2878,4.76214,224.963
269,6,42.263,15.6734,36.585,10.9726,3087.18
270,1,15.7962,120.965,253.46,81.8848,67.1282
270,2,19.3324,336.512,60.2891,51.1289,47.1149
270,3,29.5412,146.284,38.9281,30.7461,33.951
270,4,35.4684,27.4981,6.29225,5.12054,113.978
270,5,39.9715,6.2739,11.2193,4.02378,31.0923
270,6,42.3757,18.1866,24.652,10.4657,1426.1
271,1,16.3729,139.187,178.106,78.1299,347.445
271,2,18.8449,264.107,70.7969,55.8308,73.8671
271,3,29.911,184.711,24.7868,21.8542,22.5053
271,4,36.7667,33.2814,6.08718,5.14598,84.9993
271,5,38.7128,6.47737,11.1306,4.09457,36.7842
271,6,42.4363,17.8895,15.3651,8.26573,196.233
272,1,16.3824,139.316,179.422,78.4229,285.755
272,2,18.8365,255.125,73.3458,56.9681,104.502
272,3,29.9077,183.471,24.6328,21.7171,32.9765
272,4,36.8571,30.2036,6.83866,5.57613,46.1912
272,5,38.6115,6.40593,10.7756,4.01755,3206.37
272,6,42.4441,18.3254,14.9596,8.23616,894.485
273,1,15.8164,122.696,252.735,82.5974,3105.65
273,2,19.3154,362.892,59.7666,51.3152,1227.97
273,3,29.5333,142.947,38.4837,30.3208,50.4827
273,4,35.567,27.2692,5.90294,4.85252,69.768
273,5,39.8386,6.48193,10.9569,4.07263,1324.18
273,6,42.3986,18.3292,23.1956,10.2386,2391.82
274,1,14.993,117.615,308.149,85.1245,5742.25
274,2,19.966,450.081,57.6093,51.0722,651.274
274,3,28.7512,125.905,40.7508,30.7864,82.5262
274,4,34.2814,22.7073,6.32338,4.94604,157.669
274,5,41.0593,7.87919,11.7166,4.71108,1648.94
274,6,42.2992,15.4478,34.522,10.6722,18950
275,1,14.0599,117.679,328.528,86.6431,0
275,2,20.6452,248.45,50.1834,41.7504,0
275,3,27.5454,106.344,39.6046,28.8575,0
275,4,33.1602,21.0306,9.33827,6.4668,0
275,5,42.1464,15.3095,23.956,9.34038,0
275,6,42.154,9.42459,9.48477,4.72729,0
276,1,13.069,134.382,354.374,97.434,1474.84
276,2,21.3087,264.654,50.4927,42.4027,844.23
276,3,25.9869,98.3965,52.697,34.3178,38.8898
276,4,32.1915,16.8115,12.5637,7.19023,198.587
276,5,41.9461,25.4623,51.2205,17.0076,1794.11
276,6,43.0959,13.9407,6.83389,4.58585,481.174
277,1,12.0479,144.392,341.078,101.446,776.686
277,2,21.9389,292.56,46.2158,39.9111,401.52
277,3,24.2068,85.2559,84.5377,42.4476,67.3753
277,4,31.2915,19.5892,14.7964,8.4294,72.401
277,5,41.7109,29.5648,43.9101,17.6685,1048.62
277,6,43.8766,27.2813,3.89017,3.40468,1036.05
278,1,11.0185,157.104,317.259,105.073,242.862
278,2,22.3329,69.899,88.3589,39.0262,134.083
278,3,22.5268,311.185,47.361,41.105,155.476
278,4,30.3785,21.0892,18.576,9.8765,49.5115
278,5,41.4634,32.5966,65.5256,21.7679,1730.48
278,6,44.4943,24.656,3.10683,2.75915,245.609
279,1,10.0027,159.535,379.144,112.287,163.275
279,2,20.4711,58.1385,311.892,49.0039,412.846
279,3,23.0659,162.304,43.1947,34.1154,247.003
279,4,29.3971,22.7561,20.2014,10.7014,32.7043
279,5,41.2331,31.3295,96.5698,23.6552,411.179
279,6,44.9518,20.8948,6.1327,4.74115,338.474
280,1,9.02304,164.528,501.532,123.887,407.721
280,2,18.715,62.469,745.901,57.6415,443.695
280,3,23.5513,222.806,43.6845,36.5235,83.1795
280,4,28.3173,22.6187,25.1397,11.9063,52.8747
280,5,41.0515,28.13,96.1871,21.7649,652.796
280,6,45.2552,15.1926,4.02855,3.18421,164.898
281,1,8.1031,160.148,617.015,127.146,290.248
281,2,17.1559,72.7513,956.301,67.608,360.899
281,3,23.979,188.637,41.3449,33.9121,86.7722
281,4,27.1308,24.4659,28.4155,13.1466,32.9153
281,5,40.9456,22.9532,84.3478,18.0432,288.35
281,6,45.4146,12.6308,18.0994,7.43926,191.345
282,1,7.26669,133.58,811.358,114.696,53.127
282,2,15.8849,78.0775,1446.73,74.0796,866.736
282,3,24.3455,162.289,41.4666,33.0276,95.0276
282,4,25.8522,18.7124,72.1637,14.8593,58.7063
282,5,40.9297,30.7401,20.4234,12.2708,164.879
282,6,45.4455,14.0375,61.0925,11.4147,405.337
283,1,7.89189,129.864,602.593,106.839,176.176
283,2,16.3017,91.7736,1617.53,86.8462,187.691
283,3,24.0737,185.302,40.059,32.9383,324.735
283,4,27.1336,22.5064,29.9962,12.8585,211.433
283,5,40.7706,40.3499,20.8104,13.7294,364.885
283,6,45.5439,12.4516,31.284,8.90661,3960.7
284,1,7.26265,130.998,814.23,112.843,67.4905
284,2,15.887,78.1558,1489.96,74.2605,365.666
284,3,24.3471,172.135,41.8309,33.6528,185.84
284,4,25.8513,18.8084,71.3818,14.8861,114.188
284,5,40.9128,28.93,21.5777,12.3594,1890.24
284,6,45.4721,14.3355,65.5442,11.7628,1172.3
285,1,6.76476,142.718,1075.07,125.992,141.564
285,2,15.8363,68.9992,1613.28,66.1692,45.1408
285,3,24.5546,108.855,42.1706,30.3954,191.729
285,4,24.6248,19.6974,97.2035,16.3785,65.5534
285,5,41.1041,28.8341,70.0994,20.4304,1604.42
285,6,45.3387,15.1311,143.868,13.6912,2774.74
286,1,6.41826,150.873,1337.61,135.58,155.314
286,2,16.0218,59.5967,1899.49,57.7838,202.259
286,3,23.5989,22.2594,40.2486,14.3327,142.139
286,4,24.6942,95.652,44.7255,30.4756,174.309
286,5,41.2861,34.5681,88.0761,24.8248,8703.57
286,6,45.1992,16.2293,493.881,15.7129,961.06
287,1,6.2389,151.663,1800.23,139.878,239.42
287,2,16.2209,54.6731,2899.91,53.6614,190.296
287,3,22.9872,18.0095,97.4298,15.1999,45.8668
287,4,24.7647,58.0593,44.9936,25.3491,222.902
287,5,41.3914,40.6223,67.2741,25.3283,4121.16
287,6,45.1178,21.3838,1339.86,21.0479,93.2066
288,1,6.23565,151.565,1801.48,139.803,151.956
288,2,16.2164,55.0065,2738.36,53.9233,304.713
288,3,22.995,18.4603,88.2698,15.2673,53.819
288,4,24.7656,64.26,45.1777,26.5276,78.6223
288,5,41.3721,40.5818,63.5315,24.7636,819.173
288,6,45.1402,20.6249,1413.12,20.3282,462.538
289,1,6.40879,150.875,1325.93,135.461,133.317
289,2,16.0108,59.5997,1734.52,57.6199,135.038
289,3,23.6195,22.3984,41.8029,14.5841,35.107
289,4,24.6969,92.3145,45.1716,30.3303,65.9174
289,5,41.2329,34.5772,93.3005,25.2278,389.049
289,6,45.2615,17.0475,578.611,16.5596,574.48
290,1,6.7498,142.248,1080.1,125.694,233.085
290,2,15.8231,68.3349,1472.05,65.3034,137.865
290,3,24.5591,112.53,43.7266,31.4902,110.404
290,4,24.6536,19.7847,95.9023,16.4012,100.724
290,5,41.0268,28.9133,62.9873,19.8167,178.408
290,6,45.4311,15.5405,172.61,14.257,568.923
291,1,7.24317,131.051,823.125,113.052,163.274
291,2,15.8742,77.319,1491.57,73.5085,115.426
291,3,24.3535,169.415,42.2404,33.8104,48.0708
291,4,25.8846,18.9694,70.7582,14.959,59.8885
291,5,40.8208,32.5227,20.1494,12.4414,137.145
291,6,45.5857,14.9555,83.4734,12.6831,132.33
292,1,7.86888,129.185,601.329,106.34,109.977
292,2,16.2902,91.4184,1579.16,86.4157,323.037
292,3,24.0819,177.274,39.8181,32.5149,34.3187
292,4,27.1684,22.7531,30.0311,12.9452,15.3889
292,5,40.6705,41.9031,21.1332,14.0482,1555.7
292,6,45.6723,13.5208,47.8066,10.5399,1236.39
293,1,8.60457,138.177,576.807,111.473,86.7024
293,2,17.1054,84.9657,1001.85,78.3232,411.159
293,3,23.7469,193.738,37.9541,31.7367,28.7907
293,4,28.4146,23.6786,21.556,11.2838,56.4667
293,5,40.6131,25.8462,23.7673,12.3816,534.731
293,6,45.6525,11.6689,2.84361,2.28643,601.604
294,1,9.427,146.348,501.368,113.282,93.8668
294,2,18.2881,70.7108,669.674,63.9575,353.427
294,3,23.3519,243.941,40.7701,34.9319,50.2338
294,4,29.5678,23.9258,17.2539,10.0247,58.0736
294,5,40.6649,24.3042,47.5109,16.079,713.886
294,6,45.5003,16.6084,4.10307,3.29023,60.3448
295,1,10.3129,148.278,389.642,107.405,83.9402
295,2,19.7699,66.2455,416.025,57.1459,267.021
295,3,22.901,269.776,40.7335,35.39,18.0255
295,4,30.599,23.9635,14.8708,9.17633,10.4006
295,5,40.8215,25.835,118.513,21.2111,599.156
295,6,45.1997,20.1767,6.8294,5.10236,79.3305
296,1,11.2398,148.262,314.941,100.806,132.997
296,2,21.4697,61.8,271.509,50.3415,62.5664
296,3,22.399,222.94,42.8236,35.9233,35.745
296,4,31.5002,25.2483,14.9131,9.37543,22.5526
296,5,41.0597,26.7497,106.459,21.3781,928.59
296,6,44.742,20.2212,7.28686,5.35658,98.2719
297,1,12.1865,140.364,380.303,102.524,51.6965
297,2,21.851,293.658,48.3522,41.5163,27.1353
297,3,23.305,80.4425,107.119,45.9418,166.143
297,4,32.2812,24.3294,13.9213,8.85465,43.7826
297,5,41.3429,24.4416,67.9777,17.9777,3627.94
297,6,44.1257,26.0718,3.60555,3.16751,82.7211
298,1,13.1338,134.678,365.657,98.4258,65.0485
298,2,21.2626,269.427,49.3437,41.7056,50.1022
298,3,25.1935,99.5502,60.8364,37.7605,21.0933
298,4,32.9653,23.9038,10.6923,7.38774,18.0059
298,5,41.6237,19.9658,40.1072,13.33,5660.78
298,6,43.3606,37.694,6.03097,5.19912,10.771
299,1,14.0647,122.377,334.164,89.5738,152.865
299,2,20.6395,214.205,49.5486,40.2404,40.3296
299,3,27.0451,111.769,44.4054,31.7795,32.6891
299,4,33.5906,22.7146,9.0493,6.47122,41.0812
299,5,41.7895,12.3488,17.1051,7.17147,264.397
299,6,42.531,11.3587,8.81697,4.96386,379.971
300,1,14.9631,115.607,302.022,83.6052,214.675
300,2,19.9891,462.295,56.2211,50.1252,89.7228
300,3,28.7442,127.853,40.7934,30.926,150.827
300,4,34.2204,22.9717,6.97457,5.35017,69.5179
300,5,41.1668,8.08619,11.3358,4.71958,95.5385
300,6,42.2983,15.0155,32.0941,10.2295,1944.33
301,1,15.809,114.211,256.001,78.9768,79.6774
301,2,19.3249,507.786,60.2878,53.8897,73.3593
301,3,30.1277,168.08,38.6426,31.4191,104.513
301,4,34.9579,25.6385,6.42104,5.135,28.4477
301,5,40.0075,6.4513,12.6121,4.26809,227.801
301,6,42.4212,19.188,24.8937,10.8358,1754.94
302,1,16.5514,110.887,194.894,70.6756,72.9192
302,2,18.6935,390.668,57.6113,50.2073,54.1523
302,3,31.0122,281.797,38.588,33.9403,26.472
302,4,35.8996,25.5701,3.90631,3.38863,28.8799
302,5,38.7475,6.50374,11.1254,4.10438,55.8634
302,6,42.5167,15.5857,23.5046,9.37154,1127.85
303,1,16.9453,77.4314,634.242,69.0067,134.956
303,2,18.3376,109.856,139.668,61.4904,88.4729
303,3,31.3057,156.626,44.4042,34.5961,1.93338
303,4,36.7621,8.22861,13.8048,5.15555,40.8897
303,5,37.7737,4.55407,42.6989,4.11516,147.666
303,6,42.5526,10.7266,63.2161,9.17051,1771.06
305,1,16.5742,111.139,198.577,71.2578,795.023
305,2,18.6731,417.063,65.2472,56.4205,188.828
305,3,31.0077,270.075,38.378,33.603,52.6594
305,4,36.0032,24.3595,5.13264,4.23939,46.1438
305,5,38.6271,6.57791,10.9478,4.10903,4062.6
305,6,42.5244,15.8981,23.331,9.45521,3424.56
306,1,15.8371,116.8,247.823,79.3855,0
306,2,19.3013,519.547,61.6886,55.1413,0
306,3,30.1268,163.36,38.5303,31.1769,0
306,4,35.0449,24.7942,6.51615,5.16004,0
306,5,39.8821,6.2065,13.7405,4.27535,0
306,6,42.4339,19.5969,24.8288,10.9524,0
307,1,14.993,117.615,308.149,85.1245,3734.94
307,2,19.966,450.081,57.6093,51.0722,421.011
307,3,28.7512,125.905,40.7508,30.7864,70.4863
307,4,34.2814,22.7073,6.32338,4.94604,142.965
307,5,41.0593,7.87919,11.7166,4.71108,445.576
307,6,42.2992,15.4478,34.522,10.6722,57821.2
308,1,14.0952,122.561,332.978,89.5865,874.166
308,2,20.6178,252.81,51.4608,42.7573,179.983
308,3,27.0575,110.348,44.2403,31.5796,126.79
308,4,33.6278,21.4826,8.92291,6.30436,30.8673
308,5,41.8305,11.1376,15.2815,6.44229,274.064
308,6,42.3916,11.485,9.43653,5.18025,419.804
309,1,13.1645,133.819,365.529,97.9574,663.883
309,2,21.2427,272.162,49.8674,42.1452,362.091
309,3,25.2076,97.5507,61.1661,37.594,55.1977
309,4,32.983,23.2851,10.5658,7.26791,43.6307
309,5,41.6963,20.6022,37.8776,13.3441,80.8021
309,6,43.1991,15.8626,6.48539,4.60333,586.825
310,1,12.2169,140.546,381.732,102.725,517.607
310,2,21.833,282.698,49.3515,42.0166,116.907
310,3,23.3185,79.4071,107.205,45.6179,44.1029
310,4,32.2829,23.7296,13.7745,8.7154,84.3176
310,5,41.4237,25.3781,61.5136,17.966,379.063
310,6,43.9667,25.1547,4.04773,3.48668,220.452
311,1,11.2696,148.349,321.655,101.525,319.42
311,2,21.4818,60.6113,260.354,49.1654,158.912
311,3,22.3829,241.327,43.8043,37.0747,90.9851
311,4,31.4887,24.6548,14.9049,9.28919,76.6146
311,5,41.149,27.7408,91.8655,21.3068,1093.7
311,6,44.5859,21.3372,6.7067,5.1028,697.902
312,1,10.3418,149.387,382.86,107.458,237.96
312,2,19.7806,67.2018,419.347,57.9199,1640.74
312,3,22.8869,233.342,39.8619,34.0458,170.418
312,4,30.577,23.6624,15.1836,9.24883,61.7375
312,5,40.9181,26.5465,100.648,21.006,11691.6
312,6,45.0474,19.9804,7.18915,5.28688,380.013
313,1,9.45456,147.901,504.037,114.348,222.419
313,2,18.2981,73.344,675.865,66.164,872.393
313,3,23.3398,235.719,41.114,35.0079,128.071
313,4,29.5385,23.5282,17.0848,9.89768,71.3943
313,5,40.7663,24.6336,52.6151,16.7783,506.149
313,6,45.3536,18.0776,3.37114,2.84129,469.422
314,1,8.63022,141.227,580.765,113.602,365.97
314,2,17.1158,85.0894,1042.08,78.6661,400.671
314,3,23.7368,193.473,38.079,31.8169,43.1941
314,4,28.381,23.4237,21.3217,11.1617,97.6803
314,5,40.7159,24.8936,21.61,11.5679,1432.59
314,6,45.5135,11.6343,2.38419,1.9787,219.534
315,1,9.268,148.178,671.88,121.403,209.815
315,2,17.4423,99.0117,1350.89,92.2503,1012.62
315,3,23.431,217.036,39.2819,33.2618,45.9778
315,4,29.621,24.3035,17.7311,10.2517,42.7328
315,5,40.5658,12.672,20.2466,7.79393,476.58
315,6,45.5125,14.9797,4.78235,3.62504,7.9086
316,1,8.62647,136.783,582.048,110.755,245.026
316,2,17.1183,85.5542,1070.28,79.2215,637.896
316,3,23.7386,194.172,37.9193,31.724,65.8512
316,4,28.3767,23.342,21.7095,11.2481,44.0595
316,5,40.7063,26.1504,17.7973,10.59,3477.75
316,6,45.5352,11.2798,2.40361,1.9814,800.95
317,1,8.0954,160.677,619.668,127.593,95.8364
317,2,17.1599,72.6407,1018.79,67.8061,98.2637
317,3,23.9824,186.815,41.9031,34.2261,62.5093
317,4,27.1264,24.7003,28.5781,13.249,122.553
317,5,40.918,22.8451,99.7924,18.5895,2563.41
317,6,45.4635,12.8893,23.454,8.31807,372.685
318,1,7.69623,162.724,758.178,133.971,111.782
318,2,17.4607,61.3556,1067.13,58.0198,111.896
318,3,24.1592,122.73,43.6616,32.2047,31.8591
318,4,25.9836,22.5361,41.1984,14.5675,18.065
318,5,41.1463,29.4558,161.447,24.9108,1067.24
318,6,45.3449,14.545,52.363,11.3831,323.275
319,1,7.44708,164.174,901.185,138.874,204.81
319,2,17.8233,53.1424,1386.59,51.1808,68.0186
319,3,24.2666,116.388,47.3436,33.654,182.546
319,4,25.1307,20.3527,58.6732,15.111,88.3268
319,5,41.3209,38.9937,82.0225,26.4292,1111.4
319,6,45.2415,14.9608,138.736,13.5045,4902.78
320,1,7.36038,162.486,1018.98,140.14,94.305
320,2,17.9877,50.3693,1615.45,48.8462,402.558
320,3,24.3032,106.45,49.5412,33.8075,93.7966
320,4,24.8081,23.5835,50.9009,16.1164,38.0622
320,5,41.3756,42.0854,81.1217,27.7098,11248.2
320,6,45.2132,17.6728,302.594,16.6976,194.354
321,1,7.44073,163.493,905.817,138.496,115.181
321,2,17.814,53.142,1221.01,50.9256,409.75
321,3,24.2687,116.722,46.9837,33.4993,68.6241
321,4,25.1473,20.3665,58.2486,15.0902,91.3312
321,5,41.2846,38.0544,77.9715,25.5732,670.672
321,6,45.2835,16.5531,147.815,14.8861,977.455
322,1,7.68394,161.898,761.859,133.523,155.878
322,2,17.4468,61.3676,820.715,57.0982,178.511
322,3,24.1633,127.16,44.0567,32.7203,30.9477
322,4,26.0118,22.6272,41.2004,14.6057,41.1043
322,5,41.0818,28.4408,136.114,23.5252,124.067
322,6,45.421,14.5493,59.4092,11.6871,1198.27
323,1,8.07789,159.884,616.04,126.939,193.788
323,2,17.1455,71.8765,959.547,66.8676,153.759
323,3,23.9886,182.621,42.2301,34.2987,79.0754
323,4,27.1612,24.9446,28.4805,13.2978,36.8201
323,5,40.8351,22.5742,97.3251,18.324,729.536
323,6,45.5639,13.351,32.5068,9.46398,16384.4
324,1,8.60457,138.177,576.807,111.473,174.934
324,2,17.1054,84.9657,1001.85,78.3232,378.13
324,3,23.7469,193.738,37.9541,31.7367,30.9074
324,4,28.4146,23.6786,21.556,11.2838,31.8428
324,5,40.6131,25.8462,23.7673,12.3816,320.872
324,6,45.6525,11.6689,2.84361,2.28643,76.2145
325,1,9.24254,147.211,668.31,120.638,112.178
325,2,17.4313,100.06,1291.04,92.8627,174.949
325,3,23.4416,226.064,39.4705,33.6034,80.3264
325,4,29.6586,24.6392,17.566,10.2549,30.5366
325,5,40.4685,16.5237,22.8122,9.58264,282.11
325,6,45.6416,15.7484,3.63853,2.95565,187.36
326,1,9.96883,142.558,538.509,112.718,41.3801
326,2,18.1523,96.8906,945.732,87.8866,265.753
326,3,23.0768,268.404,42.8005,36.9141,59.7802
326,4,30.8224,24.1695,18.4582,10.4656,42.2649
326,5,40.4343,23.4545,27.2996,12.6157,382.256
326,6,45.5012,17.5966,4.97671,3.8795,237.683
327,1,10.7603,145.793,411.909,107.68,152.277
327,2,19.2414,82.7164,439.847,69.6232,438.879
327,3,22.658,252.118,43.5654,37.1465,29.4125
327,4,31.8636,21.9613,15.3333,9.02917,17.8803
327,5,40.5212,25.5538,25.4079,12.7403,811.761
327,6,45.2127,21.7407,6.3338,4.90486,77.6101
328,1,11.5946,143.062,311.11,97.9981,88.8311
328,2,20.6381,72.6444,359.371,60.4291,103.582
328,3,22.191,178.581,44.4137,35.5678,65.9771
328,4,32.7633,21.1657,13.8356,8.36656,30.3261
328,5,40.7167,23.2651,110.514,19.2192,365.206
328,6,44.7678,22.4335,7.65529,5.70761,44.2305
329,1,12.4511,138.975,352.048,99.6407,118.974
329,2,21.6824,217.17,48.1682,39.424,44.0145
329,3,22.2669,88.3748,99.6089,46.8281,234.329
329,4,33.5217,22.8729,11.2014,7.51912,22.7673
329,5,40.9855,22.1915,97.4431,18.0751,1641.96
329,6,44.168,21.5665,2.295,2.07427,10.2121
330,1,13.3113,132.132,357.436,96.4703,85.5429
330,2,21.1383,225.182,47.9244,39.5147,86.7121
330,3,24.0501,103.173,79.3999,44.8692,264.741
330,4,34.1523,19.9999,8.60884,6.0183,28.5543
330,5,41.2686,17.2401,53.5957,13.0442,2683.69
330,6,43.4326,32.6196,5.07858,4.39441,11.4596
331,1,14.1602,126.241,334.885,91.6804,193.404
331,2,20.5646,276.239,53.1302,44.5598,62.0514
331,3,25.9103,111.645,50.9173,34.9691,119.097
331,4,34.6747,24.1542,9.46695,6.80128,33.3059
331,5,41.4321,14.3023,22.5079,8.74525,262.585
331,6,42.6609,10.5013,4.14096,2.96986,56.3641
332,1,14.986,124.774,288.025,87.0593,233.049
332,2,19.9658,370.146,56.4556,48.9844,73.0612
332,3,27.7664,120.172,39.5432,29.7528,142.714
332,4,35.112,25.0437,7.88509,5.99694,21.919
332,5,40.9986,7.60343,10.9252,4.48328,32.3862
332,6,42.3111,14.0377,22.4532,8.63755,4059.01
333,1,15.7809,120.487,243.301,80.5817,127.304
333,2,19.3448,366.295,62.4608,53.3616,68.0823
333,3,29.5171,144.663,38.949,30.6869,50.8611
333,4,35.4985,28.1379,6.20136,5.08145,33.415
333,5,39.9566,6.26464,11.12,4.00715,65.4383
333,6,42.3995,17.5418,23.2175,9.99225,4308.8
334,1,16.5393,109.671,187.811,69.239,259.036
334,2,18.7042,380.254,59.6921,51.593,58.5102
334,3,30.9984,272.722,38.5045,33.7408,74.6582
334,4,35.9078,24.2038,4.62257,3.8813,4.9976
334,5,38.7555,6.5511,11.2881,4.14534,136.436
334,6,42.5217,15.5002,23.7429,9.37794,5375.6
335,1,17.2444,106.196,150.581,62.2763,148.981
335,2,18.059,411.1,75.4839,63.774,63.1591
335,3,31.9122,588.454,55.9309,51.0763,44.2401
335,4,36.4895,25.0639,5.24998,4.34075,69.637
335,5,37.5997,8.34744,8.82264,4.28923,35.9309
335,6,42.5917,18.63,16.8788,8.85561,7369.54
336,1,17.2752,106.917,151.107,62.6141,0
336,2,18.0294,397.545,75.7093,63.5976,0
336,3,31.9141,581.702,55.7599,50.8825,0
336,4,36.6044,24.4192,4.63611,3.89637,0
336,5,37.4746,7.913,10.1238,4.44144,0
336,6,42.5929,18.8629,16.7122,8.86127,0
337,1,16.5742,111.139,198.577,71.2578,520.595
337,2,18.6731,417.063,65.2472,56.4205,193.476
337,3,31.0077,270.075,38.378,33.603,45.5744
337,4,36.0032,24.3595,5.13264,4.23939,12.2766
337,5,38.6271,6.57791,10.9478,4.10903,2831.6
337,6,42.5244,15.8981,23.331,9.45521,4386.21
338,1,15.8164,122.696,252.735,82.5974,1126.3
338,2,19.3154,362.892,59.7666,51.3152,365.155
338,3,29.5333,142.947,38.4837,30.3208,73.0002
338,4,35.567,27.2692,5.90294,4.85252,33.3853
338,5,39.8386,6.48193,10.9569,4.07263,678.769
338,6,42.3986,18.3292,23.1956,10.2386,5907.9
339,1,15.0216,118.1,290.791,83.989,2549.52
339,2,19.9385,357.385,56.4129,48.7222,290.094
339,3,27.7851,119.079,39.3382,29.5697,48.7633
339,4,35.1585,23.7844,7.71838,5.82733,40.069
339,5,40.9197,8.06868,10.7578,4.61059,174.586
339,6,42.2789,15.0595,25.6892,9.49395,794.352
340,1,14.1955,126.342,334.708,91.7202,422.689
340,2,20.5397,273.934,53.5885,44.8205,155.843
340,3,25.9282,110.066,50.6462,34.6858,60.2597
340,4,34.703,23.2887,9.43606,6.71521,35.8425
340,5,41.461,13.6259,20.1032,8.1213,306.842
340,6,42.5302,10.3608,6.88522,4.1364,1714.63
341,1,13.3459,133.141,365.318,97.5785,401.651
341,2,21.1158,158.916,47.6726,36.6716,187.835
341,3,24.0657,102.313,78.9981,44.5783,87.9951
341,4,34.1643,21.1907,9.0111,6.32252,76.9876
341,5,41.3297,17.6259,48.8763,12.9543,507.949
341,6,43.2807,32.7285,5.84805,4.96151,593.656
342,1,12.4846,139.029,361.024,100.375,106.45
342,2,21.6623,213.278,48.5267,39.5321,70.835
342,3,22.2799,87.1808,98.0927,46.1577,91.2224
342,4,33.5189,22.1688,11.2053,7.44316,20.0625
342,5,41.0584,22.8119,87.1602,18.0799,435.972
342,6,44.0168,20.682,3.44649,2.9542,3176.44
343,1,11.6268,143.608,317.094,98.8429,419.907
343,2,20.6488,72.3158,357.656,60.1532,239.018
343,3,22.1735,220.689,44.8519,37.2761,71.4331
