grid_index,band,frequency(THz),tau_N_RTA(ps),tau_U_RTA(ps),tau_RTA_NU(ps),tau_MC(ps)
19,3,21.9868,96.7962,41.7268,29.1576,64.6681
19,4,34.1955,17.3398,11.5372,6.92776,85.9061
19,5,40.2606,26.9574,54.0299,17.9844,1613.19
19,6,44.7337,27.2244,7.47268,5.86329,573.883
20,1,10.6282,138.404,500.902,108.441,121.489
20,2,18.3941,117.129,839.989,102.795,280.844
20,3,22.7292,252.507,45.3708,38.4602,233.57
20,4,31.9783,20.4589,15.4219,8.79342,294.045
20,5,40.3947,26.6013,32.7987,14.6883,5430.82
20,6,45.248,20.3586,6.24646,4.77989,7.8152
21,1,9.268,148.178,671.88,121.403,185.914
21,2,17.4423,99.0117,1350.89,92.2503,171.24
21,3,23.431,217.036,39.2819,33.2618,75.7867
21,4,29.621,24.3035,17.7311,10.2517,207.136
21,5,40.5658,12.672,20.2466,7.79393,1334.83
21,6,45.5125,14.9797,4.78235,3.62504,2421.29
22,1,7.89189,129.864,602.593,106.839,155.357
22,2,16.3017,91.7736,1617.53,86.8462,413.437
22,3,24.0737,185.302,40.059,32.9383,87.8859
22,4,27.1336,22.5064,29.9962,12.8585,137.656
22,5,40.7706,40.3499,20.8104,13.7294,1350.33
22,6,45.5439,12.4516,31.284,8.90661,3266
23,1,6.53739,152.049,1199.64,134.945,329.009
23,2,14.9809,84.8494,1612.88,80.6088,264.801
23,3,24.5212,20.7964,96.9847,17.1244,132.029
23,4,24.6484,127.558,39.1782,29.9724,187.599
23,5,41.0018,34.7152,17.1243,11.4676,181
23,6,45.3712,14.5779,198.092,13.5787,405.685
24,1,5.23952,163.126,2486.18,153.082,248.604
24,2,13.493,81.1727,1894.64,77.8378,838.038
24,3,21.7871,18.5529,493.486,17.8807,455.94
24,4,25.1512,76.9539,45.885,28.7452,97.6405
24,5,41.2492,21.0616,25.1927,11.4713,648.925
24,6,45.0335,15.9271,607.506,15.5202,98.4098
25,1,4.03167,172.57,10688.9,169.828,190.901
25,2,11.8542,79.0982,2903.01,77.0001,292.065
25,3,18.935,22.9262,3209.76,22.7636,304.234
25,4,25.5813,63.4384,83.3349,36.019,1264.71
25,5,41.5006,16.9837,170.975,15.4491,541.057
