index,x_nm,y_nm,z_nm,volume_nm3
0,50,50,50,1e+06
1,150,50,50,1e+06
2,250,50,50,1e+06
3,350,50,50,1e+06
4,450,50,50,1e+06
5,550,50,50,1e+06
6,650,50,50,1e+06
7,750,50,50,1e+06
8,850,50,50,1e+06
9,950,50,50,1e+06
